,Store,StoreType,Date
0,1,c,2013-01-01
1,1,c,2013-03-29
2,1,c,2013-04-01
3,1,c,2013-05-01
4,1,c,2013-05-09
5,1,c,2013-05-20
6,1,c,2013-05-30
7,1,c,2013-10-03
8,1,c,2013-12-25
9,1,c,2013-12-26
10,1,c,2014-01-01
11,1,c,2014-04-18
12,1,c,2014-04-21
13,1,c,2014-05-01
14,1,c,2014-05-29
15,1,c,2014-06-09
16,1,c,2014-06-19
17,1,c,2014-10-03
18,1,c,2014-12-25
19,1,c,2014-12-26
20,1,c,2015-01-01
21,1,c,2015-04-03
22,1,c,2015-04-06
23,1,c,2015-05-01
24,1,c,2015-05-14
25,1,c,2015-05-25
26,1,c,2015-06-04
27,2,a,2013-01-01
28,2,a,2013-03-29
29,2,a,2013-04-01
30,2,a,2013-05-01
31,2,a,2013-05-09
32,2,a,2013-05-20
33,2,a,2013-10-31
34,2,a,2013-12-25
35,2,a,2013-12-26
36,2,a,2014-01-01
37,2,a,2014-04-18
38,2,a,2014-04-21
39,2,a,2014-05-01
40,2,a,2014-05-29
41,2,a,2014-06-09
42,2,a,2014-10-31
43,2,a,2014-12-25
44,2,a,2014-12-26
45,2,a,2015-04-03
46,2,a,2015-04-06
47,2,a,2015-05-01
48,2,a,2015-05-14
49,2,a,2015-05-25
50,3,a,2013-01-01
51,3,a,2013-03-29
52,3,a,2013-04-01
53,3,a,2013-05-01
54,3,a,2013-05-09
55,3,a,2013-05-20
56,3,a,2013-05-30
57,3,a,2013-10-03
58,3,a,2013-11-01
59,3,a,2013-12-25
60,3,a,2013-12-26
61,3,a,2014-01-01
62,3,a,2014-04-18
63,3,a,2014-04-21
64,3,a,2014-05-01
65,3,a,2014-05-29
66,3,a,2014-06-09
67,3,a,2014-06-19
68,3,a,2014-10-03
69,3,a,2014-11-01
70,3,a,2014-12-25
71,3,a,2014-12-26
72,3,a,2015-01-01
73,3,a,2015-04-03
74,3,a,2015-04-06
75,3,a,2015-05-01
76,3,a,2015-05-14
77,3,a,2015-05-25
78,3,a,2015-06-04
79,4,c,2013-01-01
80,4,c,2013-03-29
81,4,c,2013-04-01
82,4,c,2013-05-01
83,4,c,2013-05-09
84,4,c,2013-05-20
85,4,c,2013-10-03
86,4,c,2013-12-25
87,4,c,2013-12-26
88,4,c,2014-01-01
89,4,c,2014-04-18
90,4,c,2014-04-21
91,4,c,2014-05-01
92,4,c,2014-05-29
93,4,c,2014-06-09
94,4,c,2014-10-03
95,4,c,2014-12-25
96,4,c,2014-12-26
97,4,c,2015-01-01
98,4,c,2015-04-03
99,4,c,2015-04-06
100,4,c,2015-05-01
101,4,c,2015-05-14
102,4,c,2015-05-25
103,5,a,2013-01-01
104,5,a,2013-03-29
105,5,a,2013-04-01
106,5,a,2013-05-01
107,5,a,2013-05-09
108,5,a,2013-05-20
109,5,a,2013-10-03
110,5,a,2013-10-31
111,5,a,2013-11-20
112,5,a,2013-12-25
113,5,a,2013-12-26
114,5,a,2014-01-01
115,5,a,2014-04-18
116,5,a,2014-04-21
117,5,a,2014-05-01
118,5,a,2014-05-29
119,5,a,2014-06-09
120,5,a,2014-10-03
121,5,a,2014-10-31
122,5,a,2014-11-19
123,5,a,2014-12-25
124,5,a,2014-12-26
125,5,a,2015-01-01
126,5,a,2015-04-03
127,5,a,2015-04-06
128,5,a,2015-05-01
129,5,a,2015-05-14
130,5,a,2015-05-25
131,6,a,2013-01-01
132,6,a,2013-03-29
133,6,a,2013-04-01
134,6,a,2013-05-01
135,6,a,2013-05-09
136,6,a,2013-05-20
137,6,a,2013-10-03
138,6,a,2013-10-31
139,6,a,2013-11-20
140,6,a,2013-12-25
141,6,a,2013-12-26
142,6,a,2014-01-01
143,6,a,2014-04-18
144,6,a,2014-04-21
145,6,a,2014-05-01
146,6,a,2014-05-29
147,6,a,2014-06-09
148,6,a,2014-10-03
149,6,a,2014-10-31
150,6,a,2014-11-19
151,6,a,2014-12-25
152,6,a,2014-12-26
153,6,a,2015-01-01
154,6,a,2015-04-03
155,6,a,2015-04-06
156,6,a,2015-05-01
157,6,a,2015-05-14
158,6,a,2015-05-25
159,7,a,2013-01-01
160,7,a,2013-03-29
161,7,a,2013-04-01
162,7,a,2013-05-01
163,7,a,2013-05-09
164,7,a,2013-05-20
165,7,a,2013-12-25
166,7,a,2013-12-26
167,7,a,2014-01-01
168,7,a,2014-04-18
169,7,a,2014-04-21
170,7,a,2014-05-01
171,7,a,2014-05-29
172,7,a,2014-06-09
173,7,a,2014-12-25
174,7,a,2014-12-26
175,7,a,2015-01-01
176,7,a,2015-04-03
177,7,a,2015-04-06
178,7,a,2015-05-01
179,7,a,2015-05-14
180,7,a,2015-05-25
181,8,a,2013-01-01
182,8,a,2013-03-29
183,8,a,2013-04-01
184,8,a,2013-05-01
185,8,a,2013-05-09
186,8,a,2013-05-20
187,8,a,2013-10-03
188,8,a,2013-12-25
189,8,a,2013-12-26
190,8,a,2014-01-01
191,8,a,2014-04-18
192,8,a,2014-04-21
193,8,a,2014-05-01
194,8,a,2014-05-29
195,8,a,2014-06-09
196,8,a,2014-10-03
197,8,a,2014-12-25
198,8,a,2014-12-26
199,8,a,2015-01-01
200,8,a,2015-04-03
201,8,a,2015-04-06
202,8,a,2015-05-01
203,8,a,2015-05-14
204,8,a,2015-05-25
205,9,a,2013-01-01
206,9,a,2013-03-29
207,9,a,2013-04-01
208,9,a,2013-05-01
209,9,a,2013-05-09
210,9,a,2013-05-20
211,9,a,2013-05-30
212,9,a,2013-10-03
213,9,a,2013-11-01
214,9,a,2013-12-25
215,9,a,2013-12-26
216,9,a,2014-01-01
217,9,a,2014-04-18
218,9,a,2014-04-21
219,9,a,2014-05-01
220,9,a,2014-05-29
221,9,a,2014-06-09
222,9,a,2014-06-19
223,9,a,2014-10-03
224,9,a,2014-11-01
225,9,a,2014-12-25
226,9,a,2014-12-26
227,9,a,2015-01-01
228,9,a,2015-04-03
229,9,a,2015-04-06
230,9,a,2015-05-01
231,9,a,2015-05-14
232,9,a,2015-05-25
233,9,a,2015-06-04
234,10,a,2013-01-01
235,10,a,2013-03-29
236,10,a,2013-04-01
237,10,a,2013-05-01
238,10,a,2013-05-09
239,10,a,2013-05-20
240,10,a,2013-10-03
241,10,a,2013-12-25
242,10,a,2013-12-26
243,10,a,2014-01-01
244,10,a,2014-04-18
245,10,a,2014-04-21
246,10,a,2014-05-01
247,10,a,2014-05-29
248,10,a,2014-06-09
249,10,a,2014-10-03
250,10,a,2014-12-25
251,10,a,2014-12-26
252,10,a,2015-01-01
253,10,a,2015-04-03
254,10,a,2015-04-06
255,10,a,2015-05-01
256,10,a,2015-05-14
257,10,a,2015-05-25
258,11,a,2013-01-01
259,11,a,2013-03-29
260,11,a,2013-04-01
261,11,a,2013-05-01
262,11,a,2013-05-09
263,11,a,2013-05-20
264,11,a,2013-10-03
265,11,a,2013-12-25
266,11,a,2013-12-26
267,11,a,2014-01-01
268,11,a,2014-04-18
269,11,a,2014-04-21
270,11,a,2014-05-01
271,11,a,2014-05-29
272,11,a,2014-06-09
273,11,a,2014-10-03
274,11,a,2014-12-25
275,11,a,2014-12-26
276,11,a,2015-01-01
277,11,a,2015-04-03
278,11,a,2015-04-06
279,11,a,2015-05-01
280,11,a,2015-05-14
281,11,a,2015-05-25
282,12,a,2013-01-01
283,12,a,2013-03-29
284,12,a,2013-04-01
285,12,a,2013-05-01
286,12,a,2013-05-09
287,12,a,2013-05-20
288,12,a,2013-10-03
289,12,a,2013-12-25
290,12,a,2013-12-26
291,12,a,2014-01-01
292,12,a,2014-04-18
293,12,a,2014-04-21
294,12,a,2014-05-01
295,12,a,2014-05-29
296,12,a,2014-06-09
297,12,a,2014-10-03
298,12,a,2014-12-25
299,12,a,2014-12-26
300,12,a,2015-01-01
301,12,a,2015-04-03
302,12,a,2015-04-06
303,12,a,2015-05-01
304,12,a,2015-05-14
305,12,a,2015-05-25
306,13,d,2013-01-01
307,13,d,2013-01-06
308,13,d,2013-03-29
309,13,d,2013-04-01
310,13,d,2013-05-01
311,13,d,2013-05-09
312,13,d,2013-05-20
313,13,d,2013-05-30
314,13,d,2013-08-15
315,13,d,2013-10-03
316,13,d,2013-11-01
317,13,d,2013-12-25
318,13,d,2013-12-26
319,13,d,2014-01-01
320,13,d,2014-01-06
321,13,d,2014-04-18
322,13,d,2014-04-21
323,13,d,2014-05-01
324,13,d,2014-05-29
325,13,d,2014-06-09
326,13,d,2014-06-19
327,13,d,2015-01-01
328,13,d,2015-01-06
329,13,d,2015-04-03
330,13,d,2015-04-06
331,13,d,2015-05-01
332,13,d,2015-05-14
333,13,d,2015-05-25
334,13,d,2015-06-04
335,13,d,2015-08-15
336,14,a,2013-01-01
337,14,a,2013-03-29
338,14,a,2013-04-01
339,14,a,2013-05-01
340,14,a,2013-05-09
341,14,a,2013-05-20
342,14,a,2013-05-30
343,14,a,2013-10-03
344,14,a,2013-11-01
345,14,a,2013-12-25
346,14,a,2013-12-26
347,14,a,2014-01-01
348,14,a,2014-04-18
349,14,a,2014-04-21
350,14,a,2014-05-01
351,14,a,2014-05-29
352,14,a,2014-06-09
353,14,a,2014-06-19
354,14,a,2014-10-03
355,14,a,2014-11-01
356,14,a,2014-12-25
357,14,a,2014-12-26
358,14,a,2015-01-01
359,14,a,2015-04-03
360,14,a,2015-04-06
361,14,a,2015-05-01
362,14,a,2015-05-14
363,14,a,2015-05-25
364,14,a,2015-06-04
365,15,d,2013-01-01
366,15,d,2013-03-29
367,15,d,2013-04-01
368,15,d,2013-05-01
369,15,d,2013-05-09
370,15,d,2013-05-20
371,15,d,2013-10-03
372,15,d,2013-12-25
373,15,d,2013-12-26
374,15,d,2014-01-01
375,15,d,2014-04-18
376,15,d,2014-04-21
377,15,d,2014-05-01
378,15,d,2014-05-29
379,15,d,2014-06-09
380,15,d,2014-10-03
381,15,d,2014-12-25
382,15,d,2014-12-26
383,15,d,2015-01-01
384,15,d,2015-04-03
385,15,d,2015-04-06
386,15,d,2015-05-01
387,15,d,2015-05-14
388,15,d,2015-05-25
389,16,a,2013-01-01
390,16,a,2013-01-06
391,16,a,2013-03-29
392,16,a,2013-04-01
393,16,a,2013-05-01
394,16,a,2013-05-09
395,16,a,2013-05-20
396,16,a,2013-05-30
397,16,a,2013-10-03
398,16,a,2013-11-01
399,16,a,2013-12-25
400,16,a,2013-12-26
401,16,a,2014-01-01
402,16,a,2014-01-06
403,16,a,2014-04-18
404,16,a,2014-04-21
405,16,a,2014-05-01
406,16,a,2014-05-29
407,16,a,2014-06-09
408,16,a,2014-06-19
409,16,a,2014-10-03
410,16,a,2014-11-01
411,16,a,2014-12-25
412,16,a,2014-12-26
413,16,a,2015-01-01
414,16,a,2015-01-06
415,16,a,2015-04-03
416,16,a,2015-04-06
417,16,a,2015-05-01
418,16,a,2015-05-14
419,16,a,2015-05-25
420,16,a,2015-06-04
421,17,a,2013-01-01
422,17,a,2013-03-29
423,17,a,2013-04-01
424,17,a,2013-05-01
425,17,a,2013-05-09
426,17,a,2013-05-20
427,17,a,2013-10-03
428,17,a,2013-10-31
429,17,a,2013-12-25
430,17,a,2013-12-26
431,17,a,2014-01-01
432,17,a,2014-04-18
433,17,a,2014-04-21
434,17,a,2014-05-01
435,17,a,2014-05-29
436,17,a,2014-06-09
437,17,a,2014-10-03
438,17,a,2014-10-31
439,17,a,2014-12-25
440,17,a,2014-12-26
441,17,a,2015-04-03
442,17,a,2015-04-06
443,17,a,2015-05-01
444,17,a,2015-05-14
445,17,a,2015-05-25
446,18,d,2013-01-01
447,18,d,2013-03-29
448,18,d,2013-04-01
449,18,d,2013-05-01
450,18,d,2013-05-09
451,18,d,2013-05-20
452,18,d,2013-10-03
453,18,d,2013-10-31
454,18,d,2013-12-25
455,18,d,2013-12-26
456,18,d,2014-01-01
457,18,d,2014-04-18
458,18,d,2014-04-21
459,18,d,2014-05-01
460,18,d,2014-05-29
461,18,d,2014-06-09
462,18,d,2014-10-03
463,18,d,2014-10-31
464,18,d,2014-12-25
465,18,d,2014-12-26
466,18,d,2015-04-03
467,18,d,2015-04-06
468,18,d,2015-05-01
469,18,d,2015-05-14
470,18,d,2015-05-25
471,19,a,2013-01-01
472,19,a,2013-03-29
473,19,a,2013-04-01
474,19,a,2013-05-01
475,19,a,2013-05-09
476,19,a,2013-05-20
477,19,a,2013-05-30
478,19,a,2013-10-03
479,19,a,2013-11-01
480,19,a,2013-12-25
481,19,a,2013-12-26
482,19,a,2014-01-01
483,19,a,2014-04-18
484,19,a,2014-04-21
485,19,a,2014-05-01
486,19,a,2014-05-29
487,19,a,2014-06-09
488,19,a,2014-06-19
489,19,a,2014-10-03
490,19,a,2014-11-01
491,19,a,2014-12-25
492,19,a,2014-12-26
493,19,a,2015-01-01
494,19,a,2015-04-03
495,19,a,2015-04-06
496,19,a,2015-05-01
497,19,a,2015-05-14
498,19,a,2015-05-25
499,19,a,2015-06-04
500,20,d,2013-01-01
501,20,d,2013-01-06
502,20,d,2013-03-29
503,20,d,2013-04-01
504,20,d,2013-05-01
505,20,d,2013-05-09
506,20,d,2013-05-20
507,20,d,2013-05-30
508,20,d,2013-08-15
509,20,d,2013-10-03
510,20,d,2013-11-01
511,20,d,2013-12-25
512,20,d,2013-12-26
513,20,d,2014-01-01
514,20,d,2014-01-06
515,20,d,2014-04-18
516,20,d,2014-04-21
517,20,d,2014-05-01
518,20,d,2014-05-29
519,20,d,2014-06-09
520,20,d,2014-06-19
521,20,d,2015-01-01
522,20,d,2015-01-06
523,20,d,2015-04-03
524,20,d,2015-04-06
525,20,d,2015-05-01
526,20,d,2015-05-14
527,20,d,2015-05-25
528,20,d,2015-06-04
529,20,d,2015-08-15
530,21,c,2013-01-01
531,21,c,2013-01-06
532,21,c,2013-03-29
533,21,c,2013-04-01
534,21,c,2013-05-01
535,21,c,2013-05-09
536,21,c,2013-05-20
537,21,c,2013-05-30
538,21,c,2013-10-03
539,21,c,2013-11-01
540,21,c,2013-12-25
541,21,c,2013-12-26
542,21,c,2014-01-01
543,21,c,2014-01-06
544,21,c,2014-04-18
545,21,c,2014-04-21
546,21,c,2014-05-01
547,21,c,2014-05-29
548,21,c,2014-06-09
549,21,c,2014-06-19
550,21,c,2014-10-03
551,21,c,2014-11-01
552,21,c,2014-12-25
553,21,c,2014-12-26
554,21,c,2015-01-01
555,21,c,2015-01-06
556,21,c,2015-04-03
557,21,c,2015-04-06
558,21,c,2015-05-01
559,21,c,2015-05-14
560,21,c,2015-05-25
561,21,c,2015-06-04
562,22,a,2013-01-01
563,22,a,2013-01-06
564,22,a,2013-03-29
565,22,a,2013-04-01
566,22,a,2013-05-01
567,22,a,2013-05-09
568,22,a,2013-05-20
569,22,a,2013-05-30
570,22,a,2013-08-15
571,22,a,2013-10-03
572,22,a,2013-11-01
573,22,a,2013-12-25
574,22,a,2013-12-26
575,22,a,2014-01-01
576,22,a,2014-01-06
577,22,a,2014-04-18
578,22,a,2014-04-21
579,22,a,2014-05-01
580,22,a,2014-05-29
581,22,a,2014-06-09
582,22,a,2014-06-19
583,22,a,2015-01-01
584,22,a,2015-01-06
585,22,a,2015-04-03
586,22,a,2015-04-06
587,22,a,2015-05-01
588,22,a,2015-05-14
589,22,a,2015-05-25
590,22,a,2015-06-04
591,22,a,2015-08-15
592,23,d,2013-01-01
593,23,d,2013-03-29
594,23,d,2013-04-01
595,23,d,2013-05-01
596,23,d,2013-05-09
597,23,d,2013-05-20
598,23,d,2013-05-30
599,23,d,2013-10-03
600,23,d,2013-11-01
601,23,d,2013-12-25
602,23,d,2013-12-26
603,23,d,2014-01-01
604,23,d,2014-04-18
605,23,d,2014-04-21
606,23,d,2014-05-01
607,23,d,2014-05-29
608,23,d,2014-06-09
609,23,d,2014-06-19
610,23,d,2014-10-03
611,23,d,2014-11-01
612,23,d,2014-12-25
613,23,d,2014-12-26
614,23,d,2015-01-01
615,23,d,2015-04-03
616,23,d,2015-04-06
617,23,d,2015-05-01
618,23,d,2015-05-14
619,23,d,2015-05-25
620,23,d,2015-06-04
621,24,a,2013-01-01
622,24,a,2013-03-29
623,24,a,2013-04-01
624,24,a,2013-05-01
625,24,a,2013-05-09
626,24,a,2013-05-20
627,24,a,2013-05-30
628,24,a,2013-10-03
629,24,a,2013-11-01
630,24,a,2013-12-25
631,24,a,2013-12-26
632,24,a,2014-01-01
633,24,a,2014-04-18
634,24,a,2014-04-21
635,24,a,2014-05-01
636,24,a,2014-05-29
637,24,a,2014-06-09
638,24,a,2014-06-19
639,24,a,2014-10-03
640,24,a,2014-11-01
641,24,a,2014-12-25
642,24,a,2014-12-26
643,24,a,2015-01-01
644,24,a,2015-04-03
645,24,a,2015-04-06
646,24,a,2015-05-01
647,24,a,2015-05-14
648,24,a,2015-05-25
649,24,a,2015-06-04
650,25,c,2013-01-01
651,25,c,2013-03-29
652,25,c,2013-04-01
653,25,c,2013-05-01
654,25,c,2013-05-09
655,25,c,2013-05-20
656,25,c,2013-05-30
657,25,c,2013-10-03
658,25,c,2013-11-01
659,25,c,2013-12-25
660,25,c,2013-12-26
661,25,c,2014-01-01
662,25,c,2014-04-18
663,25,c,2014-04-21
664,25,c,2014-05-01
665,25,c,2014-05-29
666,25,c,2014-06-09
667,25,c,2014-06-19
668,25,c,2014-10-03
669,25,c,2014-11-01
670,25,c,2014-12-25
671,25,c,2014-12-26
672,25,c,2015-01-01
673,25,c,2015-04-03
674,25,c,2015-04-06
675,25,c,2015-05-01
676,25,c,2015-05-14
677,25,c,2015-05-25
678,25,c,2015-06-04
679,26,d,2013-01-01
680,26,d,2013-03-29
681,26,d,2013-04-01
682,26,d,2013-05-01
683,26,d,2013-05-09
684,26,d,2013-05-20
685,26,d,2013-10-03
686,26,d,2013-10-31
687,26,d,2013-12-25
688,26,d,2013-12-26
689,26,d,2014-01-01
690,26,d,2014-04-18
691,26,d,2014-04-21
692,26,d,2014-05-01
693,26,d,2014-05-29
694,26,d,2014-06-09
695,26,d,2014-10-03
696,26,d,2014-10-31
697,26,d,2014-12-25
698,26,d,2014-12-26
699,26,d,2015-04-03
700,26,d,2015-04-06
701,26,d,2015-05-01
702,26,d,2015-05-14
703,26,d,2015-05-25
704,27,a,2013-01-01
705,27,a,2013-03-29
706,27,a,2013-04-01
707,27,a,2013-05-01
708,27,a,2013-05-09
709,27,a,2013-05-20
710,27,a,2013-05-30
711,27,a,2013-10-03
712,27,a,2013-11-01
713,27,a,2013-12-25
714,27,a,2013-12-26
715,27,a,2014-01-01
716,27,a,2014-04-18
717,27,a,2014-04-21
718,27,a,2014-05-01
719,27,a,2014-05-29
720,27,a,2014-06-09
721,27,a,2014-06-19
722,27,a,2014-10-03
723,27,a,2014-11-01
724,27,a,2014-12-25
725,27,a,2014-12-26
726,27,a,2015-01-01
727,27,a,2015-04-03
728,27,a,2015-04-06
729,27,a,2015-05-01
730,27,a,2015-05-14
731,27,a,2015-05-25
732,27,a,2015-06-04
733,28,a,2013-01-01
734,28,a,2013-01-06
735,28,a,2013-03-29
736,28,a,2013-04-01
737,28,a,2013-05-01
738,28,a,2013-05-09
739,28,a,2013-05-20
740,28,a,2013-10-03
741,28,a,2013-10-31
742,28,a,2013-12-25
743,28,a,2013-12-26
744,28,a,2014-01-01
745,28,a,2014-01-06
746,28,a,2014-04-18
747,28,a,2014-04-21
748,28,a,2014-05-01
749,28,a,2014-05-29
750,28,a,2014-06-09
751,28,a,2014-10-03
752,28,a,2014-10-31
753,28,a,2014-12-25
754,28,a,2014-12-26
755,28,a,2015-01-01
756,28,a,2015-01-06
757,28,a,2015-04-03
758,28,a,2015-04-06
759,28,a,2015-05-01
760,28,a,2015-05-14
761,28,a,2015-05-25
762,29,d,2013-01-01
763,29,d,2013-03-29
764,29,d,2013-04-01
765,29,d,2013-05-01
766,29,d,2013-05-09
767,29,d,2013-05-20
768,29,d,2013-05-30
769,29,d,2013-10-03
770,29,d,2013-11-01
771,29,d,2013-12-25
772,29,d,2013-12-26
773,29,d,2014-01-01
774,29,d,2014-04-18
775,29,d,2014-04-21
776,29,d,2014-05-01
777,29,d,2014-05-29
778,29,d,2014-06-09
779,29,d,2014-06-19
780,29,d,2014-10-03
781,29,d,2014-11-01
782,29,d,2014-12-25
783,29,d,2014-12-26
784,29,d,2015-01-01
785,29,d,2015-04-03
786,29,d,2015-04-06
787,29,d,2015-05-01
788,29,d,2015-05-14
789,29,d,2015-05-25
790,29,d,2015-06-04
791,30,a,2013-01-01
792,30,a,2013-03-29
793,30,a,2013-04-01
794,30,a,2013-05-01
795,30,a,2013-05-09
796,30,a,2013-05-20
797,30,a,2013-05-30
798,30,a,2013-10-03
799,30,a,2013-11-01
800,30,a,2013-12-25
801,30,a,2013-12-26
802,30,a,2014-01-01
803,30,a,2014-04-18
804,30,a,2014-04-21
805,30,a,2014-05-01
806,30,a,2014-05-29
807,30,a,2014-06-09
808,30,a,2014-06-19
809,30,a,2014-10-03
810,30,a,2014-11-01
811,30,a,2014-12-25
