Date,Store,DayOfWeek,Sales,Customers,Open,Promo,StateHoliday,SchoolHoliday,Year,Month,Day,WeekOfYear,Sales_Per_Customer,StoreType,Assortment,CompetitionDistance,CompetitionOpenSinceMonth,CompetitionOpenSinceYear,Promo2,Promo2SinceWeek,Promo2SinceYear,PromoInterval,Promo2_Start_Date,Days_Promo2_Participating,Ind_Competition,Competition_Open_Date,Competition_Age,Ind_New_Competition
2015-04-05,1,7,0,0,0,0,0,1,2015,4,5,14,,c,a,1270.0,9.0,2008.0,0,,,,,,1,2008-09-01,2407.0,0
2015-01-04,1,7,0,0,0,0,0,1,2015,1,4,1,,c,a,1270.0,9.0,2008.0,0,,,,,,1,2008-09-01,2316.0,0
2014-12-28,1,7,0,0,0,0,0,1,2014,12,28,52,,c,a,1270.0,9.0,2008.0,0,,,,,,1,2008-09-01,2309.0,0
2014-10-26,1,7,0,0,0,0,0,1,2014,10,26,43,,c,a,1270.0,9.0,2008.0,0,,,,,,1,2008-09-01,2246.0,0
2014-08-31,1,7,0,0,0,0,0,1,2014,8,31,35,,c,a,1270.0,9.0,2008.0,0,,,,,,1,2008-09-01,2190.0,0
2014-08-24,1,7,0,0,0,0,0,1,2014,8,24,34,,c,a,1270.0,9.0,2008.0,0,,,,,,1,2008-09-01,2183.0,0
2014-08-17,1,7,0,0,0,0,0,1,2014,8,17,33,,c,a,1270.0,9.0,2008.0,0,,,,,,1,2008-09-01,2176.0,0
2014-08-10,1,7,0,0,0,0,0,1,2014,8,10,32,,c,a,1270.0,9.0,2008.0,0,,,,,,1,2008-09-01,2169.0,0
2014-08-03,1,7,0,0,0,0,0,1,2014,8,3,31,,c,a,1270.0,9.0,2008.0,0,,,,,,1,2008-09-01,2162.0,0
2014-04-20,1,7,0,0,0,0,0,1,2014,4,20,16,,c,a,1270.0,9.0,2008.0,0,,,,,,1,2008-09-01,2057.0,0
2014-01-05,1,7,0,0,0,0,0,1,2014,1,5,1,,c,a,1270.0,9.0,2008.0,0,,,,,,1,2008-09-01,1952.0,0
2013-12-29,1,7,0,0,0,0,0,1,2013,12,29,52,,c,a,1270.0,9.0,2008.0,0,,,,,,1,2008-09-01,1945.0,0
2013-10-20,1,7,0,0,0,0,0,1,2013,10,20,42,,c,a,1270.0,9.0,2008.0,0,,,,,,1,2008-09-01,1875.0,0
2013-08-11,1,7,0,0,0,0,0,1,2013,8,11,32,,c,a,1270.0,9.0,2008.0,0,,,,,,1,2008-09-01,1805.0,0
2013-08-04,1,7,0,0,0,0,0,1,2013,8,4,31,,c,a,1270.0,9.0,2008.0,0,,,,,,1,2008-09-01,1798.0,0
2013-07-28,1,7,0,0,0,0,0,1,2013,7,28,30,,c,a,1270.0,9.0,2008.0,0,,,,,,1,2008-09-01,1791.0,0
2013-07-21,1,7,0,0,0,0,0,1,2013,7,21,29,,c,a,1270.0,9.0,2008.0,0,,,,,,1,2008-09-01,1784.0,0
2013-07-14,1,7,0,0,0,0,0,1,2013,7,14,28,,c,a,1270.0,9.0,2008.0,0,,,,,,1,2008-09-01,1777.0,0
2013-07-07,1,7,0,0,0,0,0,1,2013,7,7,27,,c,a,1270.0,9.0,2008.0,0,,,,,,1,2008-09-01,1770.0,0
2013-01-06,1,7,0,0,0,0,0,1,2013,1,6,1,,c,a,1270.0,9.0,2008.0,0,,,,,,1,2008-09-01,1588.0,0
2015-01-01,2,4,0,0,0,0,0,1,2015,1,1,1,,a,a,570.0,11.0,2007.0,1,13.0,2010.0,"Jan,Apr,Jul,Oct",2010-04-04,1733.0,1,2007-11-01,2618.0,0
2015-07-26,10,7,0,0,0,0,0,1,2015,7,26,30,,a,a,3160.0,9.0,2009.0,0,,,,,,1,2009-09-01,2154.0,0
2015-04-05,10,7,0,0,0,0,0,1,2015,4,5,14,,a,a,3160.0,9.0,2009.0,0,,,,,,1,2009-09-01,2042.0,0
2015-03-29,10,7,0,0,0,0,0,1,2015,3,29,13,,a,a,3160.0,9.0,2009.0,0,,,,,,1,2009-09-01,2035.0,0
2014-12-28,10,7,0,0,0,0,0,1,2014,12,28,52,,a,a,3160.0,9.0,2009.0,0,,,,,,1,2009-09-01,1944.0,0
2014-09-07,10,7,0,0,0,0,0,1,2014,9,7,36,,a,a,3160.0,9.0,2009.0,0,,,,,,1,2009-09-01,1832.0,0
2014-08-31,10,7,0,0,0,0,0,1,2014,8,31,35,,a,a,3160.0,9.0,2009.0,0,,,,,,1,2009-09-01,1825.0,0
2014-08-24,10,7,0,0,0,0,0,1,2014,8,24,34,,a,a,3160.0,9.0,2009.0,0,,,,,,1,2009-09-01,1818.0,0
2014-08-17,10,7,0,0,0,0,0,1,2014,8,17,33,,a,a,3160.0,9.0,2009.0,0,,,,,,1,2009-09-01,1811.0,0
